synset_name,definition,extracted key phrases,folder_name,Extended Description,Extended Key Phrases,Class Name,key_phrase_1,key_phrase_2,key_phrase_3
persian_cat,a long-haired breed of cat,long-haired cat breed,n02123394,"['- The Persian cat is a long-haired breed of cat with a flat face and a short, snubbed nose.', '- The fur is long and silky, with a thick undercoat and a long, flowing outer coat.', '- The eyes are large and wide-set, with a sweet, gentle expression.', '- The ears are small and rounded, with a delicate shape.', '- The Persian cat is known for its calm and gentle nature, and is often described as a ""laid']","[""flattened body shape,"", ""rounded head,"", ""distinctive coat pattern with long, thick fur""]",Persian cat,Persian cat with flattened body shape,Persian cat with rounded head,"Persian cat with distinctive coat pattern with long, thick fur"
siamese_cat,a slender short-haired blue-eyed breed of cat having a pale coat with dark ears paws face and tail tip,slender short-haired blue-eyed cat with pale coat with dark ears paws face and tail tip,n02123597,"['- The siamese cat is a slender, short-haired breed of cat with a pale coat and dark extremities.', '- The pale coat is typically cream or white, with a darker coloration on the ears, paws, face, and tail tip.', '- The eyes are bright blue and almond-shaped.', '- The body is long and slender, with a wedge-shaped head and a short, fine coat.', '- The ears are large and wide at the base']","[""pointed ears,"", ""almond-shaped eyes,"", ""striped or bi-colored coat""]",Siamese cat,Siamese cat with pointed ears,Siamese cat with almond-shaped eyes,Siamese cat with striped or bi-colored coat
egyptian_cat,a domestic cat of Egypt,domestic cat of Egypt,n02124075,"['- The Egyptian cat is a domestic cat breed that originated in Egypt.', '- It has a short, smooth coat that comes in a variety of colors, including tabby, tortoiseshell, and solid.', '- The breed is known for its large eyes, which are often described as ""almond-shaped"" and ""golden"" in color.', '- The Egyptian cat is a medium-sized breed, with males typically weighing between 10-12 pounds and females weighing between 8-10']","[""flattened body shape,"", ""striped pattern,"", ""golden-brown fur""]",Egyptian Mau,Egyptian Mau with flattened body shape,Egyptian Mau with striped pattern,Egyptian Mau with golden-brown fur
cougar,large American feline resembling a lion,American feline resembling a lion,n02125311,"[""A cougar is a large, powerful feline with a tawny or golden coat. Its body is muscular and agile, built for speed and stealth. The cougar's head is broad, with sharp eyes and a short, broad muzzle. Its ears are small and rounded, and its tail is long and bushy. The cougar's fur is thick and soft, with a distinctive pattern of darker stripes or spots on the back and sides. It is a solitary animal and is found in a variety of""]","[""tawny or reddish-brown coat,"", ""long, flexible body,"", ""black spots or stripes on the legs and face""]",cougar,cougar with tawny or reddish-brown coat,"cougar with long, flexible body",cougar with black spots or stripes on the legs and face
lynx,short-tailed wildcats with usually tufted ears; valued for their fur,short-tailed wildcats with usually tufted ears,n02127052,"['A lynx is a medium-sized wildcat with a short, bobbed tail and tufted ears. Its fur is thick and soft, with a distinctive pattern of dark brown or gray stripes on its back and sides. The lynx has a long, slender body with a short, bushy tail and a flat, rounded head. Its eyes are large and green, with a piercing gaze. The lynx is a solitary animal, and it is known for its ability to climb trees and stalk']","[""tawny or reddish-brown fur,"", ""long, black-tipped tail,"", ""distinctive tufted ears""]",lynx,lynx with tawny or reddish-brown fur,"lynx with long, black-tipped tail",lynx with distinctive tufted ears
leopard,large feline of African and Asian forests usually having a tawny coat with black spots,large feline having a tawny coat with black spots,n02128385,"[""A leopard is a large, agile feline with a tawny or golden coat covered in black spots. Its body is slender and muscular, with a long, flexible tail and powerful legs. The leopard's head is broad, with sharp eyes and a short, broad muzzle. Its ears are small and rounded, and its tail is long and covered in black spots. The leopard is a skilled climber and is often found in trees, where it can stalk its prey or escape danger. Its spots""]","[""spotted coat,"", ""long, slender body,"", ""yellow or golden eyes""]",leopard,leopard with spotted coat,"leopard with long, slender body",leopard with yellow or golden eyes
snow_leopard,large feline of upland central Asia having long thick whitish fur,large feline having long thick whitish fur,n02128757,"['- Body: The snow leopard has a thick, smoky-gray coat with a white underbelly and a long, thick tail. Its body is muscular and agile, with a broad head and a short, broad muzzle.', '- Size: The snow leopard is a medium-sized cat, with males weighing around 30-50 kg (66-110 lbs) and females weighing around 20-40 kg (44-88 lbs).', '- Habitat: The snow leopard is native to the mountain']","[""spotted coat,"", ""grayish-white fur,"", ""black spots on white background""]",snow leopard,snow leopard with spotted coat,snow leopard with grayish-white fur,snow leopard with black spots on white background
jaguar,a large spotted feline of tropical America similar to the leopard; in some classifications considered a member of the genus Felis,large spotted feline of tropical America similar,n02128925,"[""- Body: The jaguar's body is large and muscular, with a broad, flat head and a short, broad muzzle. Its eyes are yellow, with a distinctive black spot in the center of each eye. Its ears are small and rounded, with a black spot at the base of each ear."", ""- Coat: The jaguar's coat is yellow or golden, with black spots and rosettes. The spots are rounded and irregular, with a darker color in the center. The ro""]","[""rosette-shaped spots,"", ""tawny or golden coat,"", ""black spots on white belly""]",jaguar,jaguar with rosette-shaped spots,jaguar with tawny or golden coat,jaguar with black spots on white belly
lion,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male,large gregarious predatory feline,n02129165,"[""A lion is a large, majestic feline with a tawny coat and a shaggy mane that covers the head, neck, and shoulders of the male. The mane is a distinguishing feature of the male lion, and it serves as a sign of masculinity and dominance. The lion's body is muscular and powerful, with a short, tawny coat that helps it blend in with its surroundings. The lion's eyes are golden, and its ears are tufted with long hairs.""]","[""mane,"", ""tawny or golden coat,"", ""long, shaggy tail""]",lion,lion with mane,lion with tawny or golden coat,"lion with long, shaggy tail"
tiger,large feline of forests in most of Asia having a tawny coat with black stripes; endangered,large feline of forests ,n02129604,"[""A tiger is a large, powerful feline that is native to the forests of most of Asia. It has a distinctive tawny coat with black stripes, which helps it blend in with its surroundings. The tiger's body is sleek and muscular, built for speed and agility. Its head is broad, with sharp eyes and large, white teeth that contrast against its dark striped fur. Its tail is long, covered in stripes, and helps maintain balance when running at high speeds. The tiger is an""]","[""striped pattern,"", ""orange-red fur,"", ""black stripes on face""]",tiger,tiger with striped pattern,tiger with orange-red fur,tiger with black stripes on face
cheetah,long-legged spotted cat of Africa and southwestern Asia having nonretractile claws; the swiftest mammal; can be trained to run down game,long-legged spotted cat,n02130308,"[""A cheetah is a slender, agile cat with a golden-brown coat and black spots. Its body is long and lean, with a flexible spine that allows it to cover great distances at high speeds. The cheetah's legs are long and powerful, with non-retractable claws that provide traction and stability. Its eyes are large and round, with a piercing gaze. The cheetah's tail is long and fluffy, and it uses it to balance while running. The cheet""]","[""spotted coat,"", ""long, slender body,"", ""black ""]",cheetah,cheetah with spotted coat,"cheetah with long, slender body",cheetah with black
brown_bear,large ferocious bear of Eurasia,ferocious bear of Eurasia,n02132136,"['- Body: large, muscular, and powerful', '- Fur: thick, brown, and shaggy', '- Head: broad, with a short, rounded snout', '- Eyes: small, dark, and expressive', '- Ears: small, rounded, and relatively short', '- Tail: short, thick, and bushy', '- Habitat: forests, mountains, and tundras', '- Diet: omnivorous, with a preference for berries,']","[""stocky body shape,"", ""coarse, brown fur,"", ""distinctive V-shaped white chest marking""]",brown bear,brown bear with stocky body shape,"brown bear with coarse, brown fur",brown bear with distinctive V-shaped white chest marking
american_black_bear,brown to black North American bear; smaller and less ferocious than the brown bear,North American bear,n02133161,"['- The American black bear is a medium-sized bear with a black coat, but it can also be blue-gray or brown. The fur is thick and coarse, with a distinctive sheen.', ""- The bear's body is rounded, with a short, broad snout and small ears. The eyes are dark and expressive."", '- The American black bear is omnivorous, eating plants, insects, honey, and small animals. It is generally not aggressive, but will defend itself if threatened.']","[""stocky body shape,"", ""coarse, black fur,"", ""white chest marking""]",American black bear,American black bear with stocky body shape,"American black bear with coarse, black fur",American black bear with white chest marking
ice_bear,white bear of Arctic regions,white bear of Arctic regions,n02134084,"['- Body: The ice bear has a thick, white coat that helps it blend in with its Arctic environment. Its body is large and muscular, with a broad chest and strong legs.', ""- Head: The ice bear's head is rounded, with a short, stubby snout and small eyes. Its ears are small and rounded, and its fur is longer around the face and neck."", '- Claws: The ice bear has large, sharp claws that it uses for climbing, hunting,']","[""white fur,"", ""rounded head,"", ""black nose""]",polar bear,polar bear with white fur,polar bear with rounded head,polar bear with black nose
sloth_bear,common coarse-haired long-snouted bear of south-central Asia,coarse-haired long-snouted bear,n02134418,"['Sloth bears are medium-sized bears with a distinctive V-shaped white marking on their chest. They have a long, curved snout and coarse, shaggy fur that is usually brown or black. Their ears are small and rounded, and their eyes are dark and expressive. Sloth bears are omnivores and feed on a variety of plants, insects, and small animals. They are solitary animals and are found in forests and grasslands of south-central Asia.', 'Class: Lion', 'Minimal']","[""flattened body shape,"", ""long, shaggy fur,"", ""distinctive V-shaped white markings on chest""]",sloth bear,sloth bear with flattened body shape,"sloth bear with long, shaggy fur",sloth bear with distinctive V-shaped white markings on chest
mongoose,agile grizzled Old World viverrine; preys on snakes and rodents,agile grizzled Old World viverr,n02137549,"[""A mongoose is a small, agile mammal with a grizzled, brownish-gray coat and a long, bushy tail. Its body is slender and flexible, with a pointed snout and large, round ears. The mongoose's eyes are bright and alert, and its teeth are sharp and pointed. It is known for its ability to kill venomous snakes, such as cobras and vipers, by biting them on the head or neck. Mongooses are also skilled at catching rodents and""]","[""long, pointed snout,"", ""short, stubby legs,"", ""distinctive white stripes on back""]",mongoose,"mongoose with long, pointed snout","mongoose with short, stubby legs",mongoose with distinctive white stripes on back
meerkat,a mongoose-like viverrine of South Africa having a face like a lemur and only four toes,mongoose-like viverrine with a face,n02138441,"['A meerkat is a small, carnivorous mammal that belongs to the mongoose family. It has a distinctive appearance, with a long, pointed snout and a round, furry body. Its fur is usually brown or gray, with a lighter-colored belly. Meerkats are known for their upright posture, often standing on their hind legs to survey their surroundings. They have a long, bushy tail and four toes on each foot, with the first toe being opposable. Meerkats']","[""long, thin body shape,"", ""short, pointed snout,"", ""distinctive white stripes on back""]",meerkat,"meerkat with long, thin body shape","meerkat with short, pointed snout",meerkat with distinctive white stripes on back
tiger_beetle,active usually bright-colored beetle that preys on other insects,active bright-colored beetle that preys on,n02165105,"[""- Body: The tiger beetle's body is typically bright yellow, orange, or red, with a shiny, metallic appearance. It has a distinctive pattern of black stripes or spots on its elytra (wing covers)."", ""- Head: The tiger beetle's head is shaped like a triangle, with a long, pointed snout and large, compound eyes."", ""- Legs: The tiger beetle's legs are long and slender, with sharp claws at the end."", '- Behavior: Tiger beetles']","[""oval-shaped body,"", ""distinctive striped pattern,"", ""small, rounded eyes""]",tiger beetle,tiger beetle with oval-shaped body,tiger beetle with distinctive striped pattern,"tiger beetle with small, rounded eyes"
ladybug,small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests,small round bright-colored and spotted beetle,n02165456,"[""ladybug is a small, oval-shaped beetle with a bright red and black coloration. It has a rounded body, typically around 1/4 inch long, with a distinctive black and red pattern on its elytra (wing covers). The ladybug's head is small, with large, black eyes and a long, thin antennae. It has six legs, which it uses to move around and feed on aphids and other small insects. The ladybug's body is covered in tiny""]","[""oval body shape,"", ""small, rounded spots,"", ""red and black color pattern""]",ladybug,ladybug with oval body shape,"ladybug with small, rounded spots",ladybug with red and black color pattern
ground_beetle,predacious shining black or metallic terrestrial beetle that destroys many injurious insects,predacious beetle that destroys insects.,n02167151,"['ground_beetle is a type of beetle that is typically shiny black or metallic in color. It is a terrestrial beetle, meaning it lives on the ground, and is known for its predatory behavior. It is a beneficial insect, as it feeds on other insects that are considered pests, such as aphids, caterpillars, and other beetles. The ground_beetle is usually between 1/4 to 1/2 inch long and has a rounded body shape. It has a']","[""oval body shape,"", ""distinctive elytra pattern,"", ""dark brown or black coloration""]",ground beetle,ground beetle with oval body shape,ground beetle with distinctive elytra pattern,ground beetle with dark brown or black coloration
long-horned_beetle,long-bodied beetle having very long antennae,long-bodied beetle with long antennae.,n02168699,"['The long-horned beetle is a type of beetle that is characterized by its long, slender body and extremely long antennae. The body is typically brown or black in color, with a shiny, smooth texture. The antennae are the most distinctive feature of this beetle, with some species having antennae that are longer than the body itself. The long-horned beetle is often found in forests and woodlands, where it feeds on tree sap and other plant materials.', 'Class: butterfly']","[""long, curved horns,"", ""oval-shaped body,"", ""small, rounded eyes,""]",longhorn beetle,"longhorn beetle with long, curved horns",longhorn beetle with oval-shaped body,"longhorn beetle with small, rounded eyes"
leaf_beetle,brightly colored beetle that feeds on plant leaves; larvae infest roots and stems,brightly colored beetle that feeds on plant leaves,n02169497,"[""A leaf beetle is a small to medium-sized beetle with a brightly colored elytra (wing covers). The elytra are usually red, orange, or yellow, and may have black or white markings. The beetle's body is typically oval-shaped and ranges in length from 1/4 to 1 inch. The larvae of the leaf beetle are legless and grub-like, feeding on the roots and stems of plants. Adult leaf beetles feed on the leaves of plants, using their sharp""]","[""oval body shape,"", ""small, rounded scales,"", ""greenish-yellow color with darker stripes""]",leaf beetle,leaf beetle with oval body shape,"leaf beetle with small, rounded scales",leaf beetle with greenish-yellow color with darker stripes
dung_beetle,any of numerous beetles that roll balls of dung on which they feed and in which they lay eggs,beetles that roll balls of dung on,n02172182,"['- Body shape: elongated, oval-shaped', '- Color: typically black or dark brown', '- Size: varies from 1-5 cm in length', '- Legs: six legs, with the front pair modified for rolling dung balls', '- Antennae: long, thin, and feathery', '- Dung-rolling behavior: dung beetles use their front legs to roll and shape dung into balls, which they use for food and shelter. They also use']","[""oval body shape,"", ""distinctive ridges,"", ""dark brown or black elytra""]",dung beetle,dung beetle with oval body shape,dung beetle with distinctive ridges,dung beetle with dark brown or black elytra
rhinoceros_beetle,any of various large chiefly tropical beetles having horns on the head; pest on coconuts,large tropical beetle with horns on the head,n02174001,"['- Body: The rhinoceros beetle is a large, stout beetle with a shiny, dark brown or black body. It has a distinctive horn on its head, which is used for defense and fighting with other beetles. The body is roughly oval in shape, with a flat, broad back and a rounded abdomen.', '- Horn: The horn is made of a hard, keratin-based material and is used for defense and fighting with other beetles. It is typically curved and can be']","[""oval-shaped body,"", ""distinctive horn-like protrusions,"", ""dark brown or black elytra""]",rhinoceros beetle,rhinoceros beetle with oval-shaped body,rhinoceros beetle with distinctive horn-like protrusions,rhinoceros beetle with dark brown or black elytra
weevil,any of several families of mostly small beetles that feed on plants and plant products; especially snout beetles and seed beetles,small beetles that feed on plants,n02177972,"['Weevils are small to medium-sized beetles that belong to the superfamily Curculionoidea. They are characterized by their distinctive snout-like projection on their head, which is used for feeding and other purposes. Weevils are herbivores and feed on a wide variety of plants, including leaves, stems, flowers, and seeds. They are often found in gardens, forests, and agricultural fields, where they can cause significant damage to crops and ornamental plants. Weevils']","[""elongated body shape,"", ""distinctive snout,"", ""small, rounded eyes""]",weevil,weevil with elongated body shape,weevil with distinctive snout,"weevil with small, rounded eyes"
fly,two-winged insects characterized by active flight,two-winged insects characterized by active flight,n02190166,"['A fly is a small, winged insect that is characterized by its active flight. It has a slender body, typically between 1/8 and 1/2 inch long, with a shiny exoskeleton. Its wings are transparent and delicate, with a network of veins that give them a lacy appearance. Flies have large, compound eyes that are sensitive to movement and color, and they use their long, thin antennae to detect odors and tastes. They are often found near']","[""wings,"", ""compound eyes,"", ""striped pattern""]",fly,fly with wings,fly with compound eyes,fly with striped pattern
bee,any of numerous hairy-bodied insects including social and solitary species,hairy-bodied insects,n02206856,"[""A bee is a small, flying insect with a hairy body and a distinctive buzzing sound. It has a narrow waist and a rounded abdomen, with a pair of transparent wings that beat rapidly to generate lift. The bee's body is usually yellow and black, with a distinctive pattern of stripes or spots. It has a long, tube-shaped tongue called a proboscis that it uses to gather nectar from flowers. Bees are social insects that live in colonies, with a queen bee at the center""]","[""insect body shape,"", ""striped pattern,"", ""yellow and black coloration""]",bee,bee with insect body shape,bee with striped pattern,bee with yellow and black coloration
ant,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,social insect living in organized colonies,n02219486,"['- Body: Ants are small, typically ranging from 1-2 mm in length. They have a narrow waist, a rounded abdomen, and a distinctive node-like structure at the base of the abdomen.', '- Head: Ants have a distinctive head shape, with a pair of large compound eyes and a pair of antennae.', '- Legs: Ants have six legs, with the front pair modified for grasping and manipulating food.', '- Wings: During breeding season, the males']","[""eliptical body shape,"", ""distinctive node pattern,"", ""dark brown or black color""]",ant,ant with eliptical body shape,ant with distinctive node pattern,ant with dark brown or black color
grasshopper,terrestrial plant-eating insect with hind legs adapted for leaping,leaping insect with hind legs,n02226429,"[""A grasshopper is a terrestrial insect with a slender, elongated body and long, thin legs. Its body is typically green or brown, allowing it to blend in with its surroundings. Its hind legs are particularly notable, as they are adapted for jumping and can propel the insect great distances. The grasshopper's antennae are long and slender, and its compound eyes are large and expressive. Its wings are transparent and delicate, allowing it to fly short distances."", 'Class: Butterfly']","[""elongated body shape,"", ""distinctive wing pattern,"", ""green or brown coloration""]",grasshopper,grasshopper with elongated body shape,grasshopper with distinctive wing pattern,grasshopper with green or brown coloration
cricket,leaping insect; male makes chirping noises by rubbing the forewings together,leaping insect with chirping noises.,n02229544,"['A cricket is a small, jumping insect with a slender body and long, thin antennae. Its body is usually brown or green, allowing it to blend in with its surroundings. The cricket has a distinctive chirping sound, which it makes by rubbing its forewings together. The male cricket is responsible for this sound, which is used for communication and mating. The cricket has six legs, which it uses to jump long distances. Its wings are thin and transparent, allowing it to fly short distances']","[""elongated body shape,"", ""wings with veins,"", ""distinctive black and yellow stripes""]",cricket insect,cricket insect with elongated body shape,cricket insect with wings with veins,cricket insect with distinctive black and yellow stripes
walking_stick,any of various mostly tropical insects having long twiglike bodies,tropical insects with long twiglike bodies.,n02231487,"['A walking stick is a type of insect that has a long, thin body that resembles a twig. They are often found in tropical regions and are known for their ability to blend in with their surroundings, making them difficult to spot. The body of a walking stick is usually brown or green in color, and is covered in tiny hairs that help it to blend in with its environment. The insect has six legs and two antennae, and is able to move slowly and deliberately, using its long body to']","[""straight, slender shaft,"", ""rounded, tapered tip,"", ""natural wood grain pattern""]",stick insect,"stick insect with straight, slender shaft","stick insect with rounded, tapered tip",stick insect with natural wood grain pattern
cockroach,any of numerous chiefly nocturnal insects; some are domestic pests,numerous nocturnal insects.,n02233338,"['- Body: elongated, flat, and oval-shaped, typically 1/2 to 1 inch long', '- Head: narrow, pointed, and often with a pair of long, thin antennae', '- Legs: six, with claws at the end of each leg', '- Wings: usually present, but often weak and not used for flight', '- Color: usually brown or black, but can vary depending on the species', '- Habitat: found in a wide range']","[""flattened body shape,"", ""segmented, armored exoskeleton,"", ""antennae with distinctive club-shaped tips""]",cockroach,cockroach with flattened body shape,"cockroach with segmented, armored exoskeleton",cockroach with antennae with distinctive club-shaped tips
mantis,predacious long-bodied large-eyed insect of warm regions; rests with forelimbs raised as in prayer,predacious long-bodied large-eyed insect,n02236044,"['A mantis is a type of insect that belongs to the order Mantodea. It is a carnivorous insect that is known for its long, slender body and large, compound eyes. The mantis has a distinctive way of resting, with its forelimbs raised in a prayer-like position. It is a stealthy hunter that waits for prey to come close before striking with its spiked forelegs. The mantis is typically green or brown in color, allowing it to blend in with its surroundings']","[""long, slender body shape,"", ""distinctive, spiked forelegs,"", ""greenish-yellow coloration""]",praying mantis,"praying mantis with long, slender body shape","praying mantis with distinctive, spiked forelegs",praying mantis with greenish-yellow coloration
cicada,stout-bodied insect with large membranous wings; male has drum-like organs for producing a high-pitched drone,stout-bodied insect with large membranous,n02256656,"['- Body: stout, with a rounded abdomen and a long, slender neck', '- Wings: large, membranous, and transparent', '- Legs: long and slender', '- Eyes: large and compound', '- Sound-producing organs: drum-like structures on the abdomen of males, used to produce a high-pitched drone', '- Mating behavior: males use their sound-producing organs to attract females, who respond with their own sounds', '- Life cycle: cicadas spend']","[""elongated body shape,"", ""translucent wings,"", ""distinctive, intricate patterns on body""]",cicada,cicada with elongated body shape,cicada with translucent wings,"cicada with distinctive, intricate patterns on body"
leafhopper,small leaping insect that sucks the juices of plants,leaping insect,n02259212,"[""A leafhopper is a small, delicate insect that is typically green or yellowish in color. It has a slender body, usually around 1/4 inch long, and a distinctive pair of wings that allow it to jump long distances. The leafhopper's head is small and pointed, with large, compound eyes that help it detect movement. Its mouthparts are adapted for sucking the juices of plants, and it uses its sharp, pointed proboscis to pierce plant tissues and feed""]","[""oval-shaped body,"", ""long, slender antennae,"", ""greenish-yellow color with darker stripes""]",leafhopper,leafhopper with oval-shaped body,"leafhopper with long, slender antennae",leafhopper with greenish-yellow color with darker stripes
lacewing,any of two families of insects with gauzy wings (Chrysopidae and Hemerobiidae); larvae feed on insect pests such as aphids,gauzy wings insect pests aphids,n02264363,"['Lacewings are delicate, slender insects with a distinctive appearance. They have a long, narrow body with a pale yellow or greenish color, and their wings are long and narrow with a delicate, lacy pattern. The wings are transparent and have a network of veins that give them a lace-like appearance. The larvae of lacewings are predators that feed on insect pests such as aphids, whiteflies, and other small insects. They are often used as a biological control method in gardens and']","[""flattened body shape,"", ""delicate, lacy wings,"", ""iridescent blue-green coloration""]",lacewing,lacewing with flattened body shape,"lacewing with delicate, lacy wings",lacewing with iridescent blue-green coloration
dragonfly,slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc.,slender-bodied non-stinging insect,n02268443,"['- Body: slender, elongated, and narrow, typically 1-5 inches long', '- Wings: iridescent, transparent, and delicate, with veins visible', '- Eyes: large, compound, and bulging, with excellent vision', '- Legs: long, slender, and agile, with sharp claws', '- Habitat: aquatic, near water, or in humid areas', '- Behavior: active, agile, and swift, with rapid wingbeats', '-']","[""long, slender body,"", ""large, compound eyes,"", ""iridescent wings with veins""]",dragonfly,"dragonfly with long, slender body","dragonfly with large, compound eyes",dragonfly with iridescent wings with veins
damselfly,slender non-stinging insect similar to but smaller than the dragonfly but having wings folded when at rest,slender insect similar to dragonfly but smaller,n02268853,"['damselfly is a slender, delicate insect with a long, slender body and long, thin wings. The wings are typically transparent or semi-transparent, with a network of veins visible underneath. The body is usually green or blue-green, with a long, pointed abdomen. The damselfly has large, compound eyes that are sensitive to movement and color. The insect is typically found near water, where it lays its eggs on vegetation or rocks. The damselfly is a non-stinging insect,']","[""long, slender body,"", ""iridescent wings,"", ""compound eyes""]",damselfly,"damselfly with long, slender body",damselfly with iridescent wings,damselfly with compound eyes
admiral,any of several brightly colored butterflies,brightly colored butterflies,n02276258,"['Admiral butterflies are medium-sized butterflies with striking color patterns. They have a black body with bright orange or yellow wings, and their wings are adorned with white spots and veins. The wings are rounded and have a distinctive shape, with the hindwings being slightly larger than the forewings. The butterflies are found in a variety of habitats, including forests, meadows, and gardens, and are known for their striking appearance and gentle flight.', 'Class: Butterfly', 'Minimal Definition: a type']","[""flattened body shape,"", ""striped pattern,"", ""dark brown or black fins""]",red admiral butterfly,red admiral butterfly with flattened body shape,red admiral butterfly with striped pattern,red admiral butterfly with dark brown or black fins
ringlet,any of various butterflies belonging to the family Satyridae,butterfly family Satyridae.,n02277742,"['A ringlet is a type of butterfly that belongs to the family Satyridae. They are known for their distinctive ring-like markings on their wings, which are often brown or gray in color. The wings are typically rounded and have a delicate appearance. Ringlets are found in a variety of habitats, including forests, meadows, and gardens. They are often seen fluttering around flowers, where they feed on nectar. Ringlets are relatively small, with a wingspan of around 1']","[""ringlet shape,"", ""ringlet pattern,"", ""ringlet color pattern""]",ringlet butterfly,ringlet butterfly with ringlet shape,ringlet butterfly with ringlet pattern,ringlet butterfly with ringlet color pattern
monarch,large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed,large migratory American butterfly with orange wings with black and white markings,n02279972,"[""The monarch butterfly is a large, migratory butterfly with a distinctive orange color and black and white markings on its wings. The wings are shaped like a teardrop, with a rounded tip and a pointed base. The body is slender and black, with a white stripe running along the top. The monarch's most distinctive feature is its ability to migrate thousands of miles each year, flying from Canada and the United States to Mexico, where they spend the winter. The monarch's larvae feed on milkweed""]","[""orange and black veins on wings,"", ""white spots on black body,"", ""long, thin antennae""]",monarch butterfly,monarch butterfly with orange and black veins on wings,monarch butterfly with white spots on black body,"monarch butterfly with long, thin antennae"
cabbage_butterfly,white butterfly whose larvae (cabbageworms) feed on cabbage,white butterfly that feeds on cabbage,n02280649,"['- The cabbage butterfly is a white butterfly with a wingspan of about 1-2 inches. The wings are transparent with a delicate network of veins and a few small black spots. The body is slender and pale yellow.', '- The larvae, known as cabbageworms, are greenish-yellow and about 1 inch long. They have a distinctive black head and a pair of small horns on their rear end. The larvae feed on the leaves of cabbage and other plants in the']","[""delicate, lacy wings,"", ""small, rounded head,"", ""mottled green and brown coloration""]",small white butterfly,"small white butterfly with delicate, lacy wings","small white butterfly with small, rounded head",small white butterfly with mottled green and brown coloration
sulphur_butterfly,any of numerous yellow or orange butterflies,yellow or orange butterflies.,n02281406,"['* Body: The body of the sulphur butterfly is typically yellow or orange, with a rounded abdomen and a long, thin proboscis.', '* Wings: The wings are long and narrow, with a distinctive shape that allows for efficient flight. The wings are usually yellow or orange, with a darker orange or brown border.', '* Legs: The legs are long and slender, with sharp claws for grasping onto plants and other surfaces.', '* Habitat: Sulphur butterflies are found in']","[""yellow-orange wings,"", ""black body with white stripes,"", ""long, thin antennae""]",sulphur butterfly,sulphur butterfly with yellow-orange wings,sulphur butterfly with black body with white stripes,"sulphur butterfly with long, thin antennae"
lycaenid,any of various butterflies of the family Lycaenidae,butterfly of the family Lycaenidae,n02281787,"['Lycaenid butterflies are small to medium-sized, with a slender body and delicate wings. They are often brightly colored, with iridescent scales that reflect light and create a shimmering effect. The wings are usually rounded and have a distinctive shape, with a long, thin tail at the rear. The body is usually covered in fine hairs, and the legs are long and slender. Lycaenid butterflies are known for their unique behavior of mimicking the appearance of other insects, such as']","[""flattened body shape,"", ""small, rounded eyes,"", ""black or dark brown wings with white spots""]",gossamer-winged butterfly,gossamer-winged butterfly with flattened body shape,"gossamer-winged butterfly with small, rounded eyes",gossamer-winged butterfly with black or dark brown wings with white spots
starfish,echinoderms characterized by five arms extending from a central disk,echinoderms with five arms extending from a central disk,n02317335,"['A starfish, also known as a sea star, is a marine invertebrate that belongs to the phylum Echinodermata. It has a central disk from which five arms extend, each covered with tiny, moveable spines. The arms are flexible and can be used for crawling, grasping, and manipulating food. The starfish has a unique body plan, with a water vascular system that helps it move and feed. It is typically found in shallow, coastal waters, where']","[""radial symmetry,"", ""five-armed body shape,"", ""small, tube feet""]",starfish,starfish with radial symmetry,starfish with five-armed body shape,"starfish with small, tube feet"
sea_urchin,shallow-water echinoderms having soft bodies enclosed in thin spiny globular shells,spiny globular shells.,n02319095,"['- Body: Soft, globular body, usually 1-5 cm in diameter', '- Shell: Thin, spiny shell that protects the body', '- Spines: Long, thin, sharp spines that help deter predators', '- Movement: Slow-moving, usually crawling or swimming', '- Feeding: Filter feeder, using tiny hair-like structures to capture small particles from the water', '- Habitat: Shallow waters, usually in coral reefs or rocky areas', '-']","[""rounded body shape,"", ""small, spiny tubercles,"", ""bright yellow or orange color""]",sea urchin,sea urchin with rounded body shape,"sea urchin with small, spiny tubercles",sea urchin with bright yellow or orange color
sea_cucumber,"echinoderm having a flexible sausage-shaped body, tentacles surrounding the mouth and tube feet; free-living mud feeders",flexible sausage-shaped body,n02321529,"['- Body: flexible, sausage-shaped, usually 10-30 cm long, 1-5 cm in diameter', '- Tentacles: short, thin, surrounding the mouth', '- Tube feet: numerous, used for movement and feeding', '- Skin: smooth, often with small spines or papillae', '- Feeding: use tentacles to capture small particles from the sediment, then use tube feet to move food to the mouth', '- Movement: slow, using']","[""elongated, cylindrical body shape,"", ""small, rounded tentacles,"", ""mottled brown and gray coloration""]",sea cucumber,"sea cucumber with elongated, cylindrical body shape","sea cucumber with small, rounded tentacles",sea cucumber with mottled brown and gray coloration
